,rank,상품명,원가,판매가,이미지,상품링크,할인율
0,194,[다샵]벽걸이 스탠드 에어컨커버 제습기/선풍기커버,26900,6500,http://image.gmarket.co.kr/challenge/neo_image/no_image.gif,http://item2.gmarket.co.kr/Item/DetailView/Item.aspx?goodscode=509405582,75.84
1,139,[아망떼]순면100%모닝벨 매트리스커버/이불커버/침대패드,33000,8900,http://image.gmarket.co.kr/challenge/neo_image/no_image.gif,http://item2.gmarket.co.kr/Item/DetailView/Item.aspx?goodscode=734171059,73.03
2,165,쁘띠뮤/신학기 아동정장 원피스 레깅스 트레이닝,33000,9900,http://image.gmarket.co.kr/challenge/neo_image/no_image.gif,http://item2.gmarket.co.kr/Item/DetailView/Item.aspx?goodscode=946176130,70.0
3,59,[젤리스푼]아동복/봄신상오픈/상하복/티셔츠/레깅스/팬츠/점퍼,43000,12900,http://image.gmarket.co.kr/challenge/neo_image/no_image.gif,http://item2.gmarket.co.kr/Item/DetailView/Item.aspx?goodscode=399488337,70.0
4,121,[디즈니]디즈니 아동 캐릭터 실내화 슬리퍼 학생 덧신 샌들,23000,6900,http://image.gmarket.co.kr/challenge/neo_image/no_image.gif,http://item2.gmarket.co.kr/Item/DetailView/Item.aspx?goodscode=225612324,70.0
5,62,[팬콧키즈]팬콧 도티잠뜰 신학기 봄 실내화 슬리퍼,23000,6900,http://image.gmarket.co.kr/challenge/neo_image/no_image.gif,http://item2.gmarket.co.kr/Item/DetailView/Item.aspx?goodscode=856094381,70.0
6,188,국산 유아.아동.주니어 내의/내복/실내복/잠옷/신상,23000,6900,http://image.gmarket.co.kr/challenge/neo_image/no_image.gif,http://item2.gmarket.co.kr/Item/DetailView/Item.aspx?goodscode=127255824,70.0
7,189,봄신상 원피스 레깅스 기모최종가 슈퍼특가 아동복,23000,6900,http://image.gmarket.co.kr/challenge/neo_image/no_image.gif,http://item2.gmarket.co.kr/Item/DetailView/Item.aspx?goodscode=385777290,70.0
8,124,[머스트비]케네스콜/YK038/바닐라비 단독기획 트렌치/자켓/야상,133000,39900,http://image.gmarket.co.kr/challenge/neo_image/no_image.gif,http://item2.gmarket.co.kr/Item/DetailView/Item.aspx?goodscode=1262006305,70.0
9,111,[릴리푸리]여아의류/봄신상/릴리푸리/원피스/레깅스/치렝스,33000,9900,http://image.gmarket.co.kr/challenge/neo_image/no_image.gif,http://item2.gmarket.co.kr/Item/DetailView/Item.aspx?goodscode=746916620,70.0
10,71,삠뽀요/봄신상 원피스9900원 베이비 우주복 돌복,33000,9900,http://image.gmarket.co.kr/challenge/neo_image/no_image.gif,http://item2.gmarket.co.kr/Item/DetailView/Item.aspx?goodscode=900637906,70.0
11,58,리바이스키즈 여름티셔츠/반팔/반바지/연휴특가,35000,10500,http://image.gmarket.co.kr/challenge/neo_image/no_image.gif,http://item2.gmarket.co.kr/Item/DetailView/Item.aspx?goodscode=1139276022,70.0
12,96,[에이비플러스]ab.plus 겨울클리어런스에서 미리보는 봄 아이템,76300,22900,http://image.gmarket.co.kr/challenge/neo_image/no_image.gif,http://item2.gmarket.co.kr/Item/DetailView/Item.aspx?goodscode=1148299669,69.99
